(236.0, 734.0)
(252.0, 734.0)
(1003.0, 734.0)
(368.0, 735.0)
(440.0, 735.0)
(974.0, 735.0)
(200.0, 736.0)
(239.0, 736.0)
(615.0, 736.0)
(1389.0, 736.0)
(232.0, 737.0)
(256.0, 737.0)
(443.0, 737.0)
(970.0, 737.0)
(244.0, 738.0)
(235.0, 739.0)
(438.0, 739.0)
(983.0, 739.0)
(1383.0, 739.0)
(246.0, 740.0)
(452.0, 740.0)
(625.0, 740.0)
(972.0, 740.0)
(442.0, 741.0)
(456.0, 742.0)
(982.0, 742.0)
(1387.0, 742.0)
(450.0, 743.0)
(973.0, 743.0)
(250.0, 744.0)
(368.0, 744.0)
(200.0, 745.0)
(224.0, 745.0)
(454.0, 745.0)
(464.0, 745.0)
(980.0, 745.0)
(228.0, 747.0)
(435.0, 747.0)
(468.0, 747.0)
(977.0, 747.0)
(463.0, 748.0)
(438.0, 749.0)
(222.0, 750.0)
(388.0, 750.0)
(467.0, 750.0)
(477.0, 750.0)
(983.0, 750.0)
(433.0, 751.0)
(480.0, 751.0)
(497.0, 751.0)
(161.0, 752.0)
(225.0, 752.0)
(352.0, 752.0)
(993.0, 752.0)
(167.0, 753.0)
(437.0, 753.0)
(475.0, 753.0)
(984.0, 753.0)
(995.0, 753.0)
(881.0, 754.0)
(978.0, 754.0)
(164.0, 755.0)
(187.0, 755.0)
(479.0, 755.0)
(157.0, 756.0)
(175.0, 756.0)
(179.0, 756.0)
(887.0, 756.0)
(980.0, 756.0)
(1002.0, 756.0)
(489.0, 757.0)
(985.0, 757.0)
(214.0, 758.0)
(388.0, 758.0)
(406.0, 758.0)
(486.0, 758.0)
(882.0, 758.0)
(1011.0, 758.0)
(349.0, 759.0)
(372.0, 759.0)
(959.0, 759.0)
(218.0, 760.0)
(402.0, 760.0)
(429.0, 760.0)
(446.0, 760.0)
(956.0, 760.0)
(433.0, 761.0)
(542.0, 761.0)
(894.0, 761.0)
(210.0, 762.0)
(378.0, 762.0)
(536.0, 762.0)
(546.0, 762.0)
(945.0, 762.0)
(950.0, 762.0)
(1007.0, 762.0)
(148.0, 763.0)
(581.0, 763.0)
(879.0, 763.0)
(897.0, 763.0)
(213.0, 764.0)
(428.0, 764.0)
(882.0, 764.0)
(945.0, 764.0)
(950.0, 764.0)
